"","x"
"422","AFTPH"
"423","AGA"
"424","AGAP1"
"425","AGAP11"
"426","AGAP2"
"427","AGAP3"
"428","AGAP4"
"429","AGAP5"
"430","AGAP6"
"431","AGAP9"
"432","AGBL1"
"433","AGBL2"
"434","AGBL3"
"435","AGBL4"
"436","AGBL5"
"437","AGER"
"438","AGFG1"
"439","AGFG2"
"440","AGGF1"
"441","AGK"
"442","AGL"
"443","AGMAT"
"444","AGMO"
"445","AGO1"
"446","AGO2"
"447","AGO3"
"448","AGO4"
"449","AGPAT1"
"450","AGPAT2"
"451","AGPAT3"
"452","AGPAT4"
"453","AGPAT5"
"454","AGPAT6"
"455","AGPAT9"
"456","AGPS"
"457","AGR2"
"458","AGR3"
"459","AGRN"
"460","AGRP"
"461","AGT"
"462","AGTPBP1"
"463","AGTR1"
"464","AGTR2"
"465","AGTRAP"
"466","AGXT"
"467","AGXT2"
"468","AHCTF1"
"469","AHCY"
"470","AHCYL1"
"471","AHCYL2"
"472","AHI1"
"473","AHNAK"
"474","AHNAK2"
"475","AHR"
"476","AHRR"
"477","AHSA1"
"478","AHSA2"
"479","AHSG"
"480","AHSP"
"481","AICDA"
"482","AIDA"
"483","AIF1"
"484","AIF1L"
"485","AIFM1"
"486","AIFM2"
"487","AIFM3"
"488","AIG1"
"489","AIM1"
"490","AIM1L"
"491","AIM2"
"492","AIMP1"
"493","AIMP2"
"494","AIP"
"495","AIPL1"
"496","AIRE"
"497","AJAP1"
"498","AJUBA"
"499","AK1"
"500","AK2"
"501","AK3"
"502","AK4"
"503","AK5"
"504","AK6"
"505","AK7"
"506","AK8"
"507","AK9"
"508","AKAP1"
"509","AKAP10"
"510","AKAP11"
"511","AKAP12"
"512","AKAP13"
"513","AKAP14"
"514","AKAP17A"
"515","AKAP2"
"516","AKAP3"
"517","AKAP4"
"518","AKAP5"
"519","AKAP6"
"520","AKAP7"
"521","AKAP8"
"522","AKAP8L"
"523","AKAP9"
"524","AKIP1"
"525","AKIRIN1"
"526","AKIRIN2"
"527","AKNA"
"528","AKNAD1"
"529","AKR1A1"
"530","AKR1B1"
"531","AKR1B10"
"532","AKR1B15"
"533","AKR1C1"
"534","AKR1C2"
"535","AKR1C3"
"536","AKR1C4"
"537","AKR1C8P"
"538","AKR1D1"
"539","AKR1E2"
"540","AKR7A2"
"541","AKR7A3"
"542","AKR7L"
"543","AKT1"
"544","AKT1S1"
"545","AKT2"
"546","AKT3"
"547","AKTIP"
"548","ALAD"
"549","ALAS1"
"550","ALAS2"
"551","ALB"
"552","ALCAM"
"553","ALDH16A1"
"554","ALDH18A1"
"555","ALDH1A1"
"556","ALDH1A2"
"557","ALDH1A3"
"558","ALDH1B1"
"559","ALDH1L1"
"560","ALDH1L2"
"561","ALDH2"
"562","ALDH3A1"
"563","ALDH3A2"
"564","ALDH3B1"
"565","ALDH3B2"
"566","ALDH4A1"
"567","ALDH5A1"
"568","ALDH6A1"
"569","ALDH7A1"
"570","ALDH8A1"
"571","ALDH9A1"
"572","ALDOA"
"573","ALDOB"
"574","ALDOC"
"575","ALG1"
"576","ALG10"
"577","ALG10B"
"578","ALG11"
"579","ALG12"
"580","ALG13"
"581","ALG14"
"582","ALG1L"
"583","ALG1L9P"
"584","ALG2"
"585","ALG3"
"586","ALG5"
"587","ALG6"
"588","ALG8"
"589","ALG9"
"590","ALK"
"591","ALKBH1"
"592","ALKBH2"
"593","ALKBH3"
"594","ALKBH4"
"595","ALKBH5"
"596","ALKBH6"
"597","ALKBH7"
"598","ALKBH8"
"599","ALLC"
"600","ALMS1"
"601","ALMS1.IT1"
"602","ALMS1P"
"603","ALOX12"
"604","ALOX12B"
"605","ALOX12P2"
"606","ALOX15"
"607","ALOX15B"
"608","ALOX5"
"609","ALOX5AP"
"610","ALOXE3"
"611","ALPI"
"612","ALPK1"
"613","ALPK2"
"614","ALPK3"
"615","ALPL"
"616","ALPP"
"617","ALPPL2"
"618","ALS2"
"619","ALS2CL"
"620","ALS2CR11"
"621","ALS2CR12"
"622","ALX1"
"623","ALX3"
"624","ALX4"
"625","ALYREF"
"626","AMACR"
"627","AMBN"
"628","AMBP"
"629","AMBRA1"
"630","AMD1"
"631","AMDHD1"
"632","AMDHD2"
"633","AMELX"
"634","AMELY"
"635","AMER1"
"636","AMER2"
"637","AMER3"
"638","AMFR"
"639","AMH"
"640","AMHR2"
"641","AMICA1"
"642","AMIGO1"
"643","AMIGO2"
"644","AMIGO3"
"645","AMMECR1"
"646","AMMECR1L"
"647","AMN"
"648","AMN1"
"649","AMOT"
"650","AMOTL1"
"651","AMOTL2"
"652","AMPD1"
"653","AMPD2"
"654","AMPD3"
"655","AMPH"
"656","AMT"
"657","AMTN"
"658","AMY1A"
"659","AMY1B"
"660","AMY1C"
"661","AMY2A"
"662","AMY2B"
"663","AMZ1"
"664","AMZ2"
"665","AMZ2P1"
"666","ANAPC1"
"667","ANAPC10"
"668","ANAPC11"
"669","ANAPC13"
"670","ANAPC15"
"671","ANAPC16"
"672","ANAPC1P1"
"673","ANAPC2"
"674","ANAPC4"
"675","ANAPC5"
"676","ANAPC7"
"677","ANG"
"678","ANGEL1"
"679","ANGEL2"
"680","ANGPT1"
"681","ANGPT2"
"682","ANGPT4"
"683","ANGPTL1"
"684","ANGPTL2"
"685","ANGPTL3"
"686","ANGPTL4"
"687","ANGPTL5"
"688","ANGPTL6"
"689","ANGPTL7"
"690","ANHX"
"691","ANK1"
"692","ANK2"
"693","ANK3"
"694","ANKAR"
"695","ANKDD1A"
"696","ANKDD1B"
"697","ANKEF1"
"698","ANKFN1"
"699","ANKFY1"
"700","ANKH"
"701","ANKHD1"
"702","ANKHD1.EIF4EBP3"
"703","ANKIB1"
"704","ANKK1"
"705","ANKLE1"
"706","ANKLE2"
"707","ANKMY1"
"708","ANKMY2"
"709","ANKRA2"
"710","ANKRD1"
"711","ANKRD10"
"712","ANKRD10.IT1"
"713","ANKRD11"
"714","ANKRD12"
"715","ANKRD13A"
"716","ANKRD13B"
"717","ANKRD13C"
"718","ANKRD13D"
"719","ANKRD16"
"720","ANKRD17"
"721","ANKRD18A"
"722","ANKRD18DP"
"723","ANKRD19P"
"724","ANKRD2"
"725","ANKRD20A1"
"726","ANKRD20A11P"
"727","ANKRD20A19P"
"728","ANKRD20A2"
"729","ANKRD20A3"
"730","ANKRD20A4"
"731","ANKRD20A5P"
"732","ANKRD20A8P"
"733","ANKRD22"
"734","ANKRD23"
"735","ANKRD24"
"736","ANKRD26"
"737","ANKRD26P1"
"738","ANKRD27"
"739","ANKRD28"
"740","ANKRD29"
"741","ANKRD30A"
"742","ANKRD30B"
"743","ANKRD30BL"
"744","ANKRD30BP2"
"745","ANKRD33"
"746","ANKRD34A"
"747","ANKRD34B"
"748","ANKRD34C"
"749","ANKRD35"
"750","ANKRD36"
"751","ANKRD36B"
"752","ANKRD36BP2"
"753","ANKRD36C"
"754","ANKRD37"
"755","ANKRD39"
"756","ANKRD40"
"757","ANKRD42"
"758","ANKRD44"
"759","ANKRD44.IT1"
"760","ANKRD45"
"761","ANKRD46"
"762","ANKRD49"
"763","ANKRD50"
"764","ANKRD52"
"765","ANKRD53"
"766","ANKRD54"
"767","ANKRD55"
"768","ANKRD6"
"769","ANKRD62"
"770","ANKRD63"
"771","ANKRD65"
"772","ANKRD66"
"773","ANKRD7"
"774","ANKRD9"
"775","ANKS1A"
"776","ANKS1B"
"777","ANKS3"
"778","ANKS4B"
"779","ANKS6"
"780","ANKUB1"
"781","ANKZF1"
"782","ANLN"
"783","ANO1"
"784","ANO10"
"785","ANO2"
"786","ANO3"
"787","ANO4"
"788","ANO5"
"789","ANO6"
"790","ANO7"
"791","ANO7P1"
"792","ANO8"
"793","ANO9"
"794","ANOS1"
"795","ANP32A"
"796","ANP32AP1"
"797","ANP32B"
"798","ANP32D"
"799","ANP32E"
"800","ANPEP"
"801","ANTXR1"
"802","ANTXR2"
"803","ANXA1"
"804","ANXA10"
"805","ANXA11"
"806","ANXA13"
"807","ANXA2"
"808","ANXA2R"
"809","ANXA3"
"810","ANXA4"
"811","ANXA5"
"812","ANXA6"
"813","ANXA7"
"814","ANXA8"
"815","ANXA8L1"
"816","ANXA9"
"817","AOAH"
"818","AOC1"
"819","AOC2"
"820","AOC3"
"821","AOC4P"
"822","AOX1"
"823","AOX3P"
"824","AP1AR"
"825","AP1B1"
"826","AP1G1"
"827","AP1G2"
"828","AP1M1"
"829","AP1M2"
"830","AP1S1"
"831","AP1S2"
"832","AP1S3"
"833","AP2A1"
"834","AP2A2"
"835","AP2B1"
"836","AP2M1"
"837","AP2S1"
"838","AP3B1"
"839","AP3B2"
"840","AP3D1"
"841","AP3M1"
"842","AP3M2"
"843","AP3S1"
"844","AP3S2"
"845","AP4B1"
"846","AP4E1"
"847","AP4M1"
"848","AP4S1"
"849","AP5B1"
"850","AP5M1"
"851","AP5S1"
"852","AP5Z1"
"853","APAF1"
"854","APBA1"
"855","APBA2"
"856","APBA3"
"857","APBB1"
"858","APBB1IP"
"859","APBB2"
"860","APBB3"
"861","APC"
"862","APC2"
"863","APCDD1"
"864","APCDD1L"
"865","APCS"
"866","APEH"
"867","APELA"
"868","APEX1"
"869","APEX2"
"870","APH1A"
"871","APH1B"
"872","API5"
"873","APIP"
"874","APITD1"
"875","APITD1.CORT"
"876","APLF"
"877","APLN"
"878","APLNR"
"879","APLP1"
"880","APLP2"
"881","APMAP"
"882","APOA1"
"883","APOA1BP"
"884","APOA2"
"885","APOA4"
"886","APOA5"
"887","APOB"
"888","APOBEC1"
"889","APOBEC2"
"890","APOBEC3A"
"891","APOBEC3B"
"892","APOBEC3C"
"893","APOBEC3D"
"894","APOBEC3F"
"895","APOBEC3G"
"896","APOBEC3H"
"897","APOBEC4"
"898","APOBR"
"899","APOC1"
"900","APOC1P1"
"901","APOC2"
"902","APOC3"
"903","APOC4"
"904","APOC4.APOC2"
"905","APOD"
"906","APOE"
"907","APOF"
"908","APOH"
"909","APOL1"
"910","APOL2"
"911","APOL3"
"912","APOL4"
"913","APOL5"
"914","APOL6"
"915","APOLD1"
"916","APOM"
"917","APOO"
"918","APOOL"
"919","APOPT1"
"920","APP"
"921","APPBP2"
"922","APPL1"
"923","APPL2"
"924","APRT"
"925","APTR"
"926","APTX"
"927","AQP1"
"928","AQP10"
"929","AQP11"
"930","AQP12A"
"931","AQP12B"
"932","AQP2"
"933","AQP3"
"934","AQP4"
"935","AQP5"
"936","AQP6"
"937","AQP7"
"938","AQP8"
"939","AQP9"
"940","AQR"
"941","AR"
"942","ARAF"
"943","ARAP1"
"944","ARAP2"
"945","ARAP3"
"946","ARC"
"947","ARCN1"
"948","AREG"
"949","AREL1"
"950","ARF1"
"951","ARF3"
"952","ARF4"
"953","ARF5"
"954","ARF6"
"955","ARFGAP1"
"956","ARFGAP2"
"957","ARFGAP3"
"958","ARFGEF1"
"959","ARFGEF2"
"960","ARFGEF3"
"961","ARFIP1"
"962","ARFIP2"
"963","ARFRP1"
"964","ARG1"
"965","ARG2"
"966","ARGLU1"
"967","ARHGAP1"
"968","ARHGAP10"
"969","ARHGAP11A"
"970","ARHGAP11B"
"971","ARHGAP12"
"972","ARHGAP15"
"973","ARHGAP17"
"974","ARHGAP18"
"975","ARHGAP19"
"976","ARHGAP19.SLIT1"
"977","ARHGAP20"
"978","ARHGAP21"
"979","ARHGAP22"
"980","ARHGAP23"
"981","ARHGAP24"
"982","ARHGAP25"
"983","ARHGAP26"
"984","ARHGAP27"
"985","ARHGAP28"
"986","ARHGAP29"
"987","ARHGAP30"
"988","ARHGAP31"
"989","ARHGAP32"
"990","ARHGAP33"
"991","ARHGAP35"
"992","ARHGAP36"
"993","ARHGAP39"
"994","ARHGAP4"
"995","ARHGAP42"
"996","ARHGAP44"
"997","ARHGAP5"
"998","ARHGAP6"
"999","ARHGAP8"
"1000","ARHGAP9"
"1001","ARHGDIA"
"1002","ARHGDIB"
"1003","ARHGDIG"
"1004","ARHGEF1"
"1005","ARHGEF10"
"1006","ARHGEF10L"
"1007","ARHGEF11"
"1008","ARHGEF12"
"1009","ARHGEF15"
"1010","ARHGEF16"
"1011","ARHGEF17"
"1012","ARHGEF18"
"1013","ARHGEF19"
"1014","ARHGEF2"
"1015","ARHGEF25"
"1016","ARHGEF26"
"1017","ARHGEF28"
"1018","ARHGEF3"
"1019","ARHGEF33"
"1020","ARHGEF35"
"1021","ARHGEF37"
"1022","ARHGEF38"
"1023","ARHGEF39"
"1024","ARHGEF4"
"1025","ARHGEF40"
"1026","ARHGEF5"
"1027","ARHGEF6"
"1028","ARHGEF7"
"1029","ARHGEF7.IT1"
"1030","ARHGEF9"
"1031","ARID1A"
"1032","ARID1B"
"1033","ARID2"
"1034","ARID3A"
"1035","ARID3B"
"1036","ARID3C"
"1037","ARID4A"
"1038","ARID4B"
"1039","ARID5A"
"1040","ARID5B"
"1041","ARIH1"
"1042","ARIH2"
"1043","ARIH2OS"
"1044","ARL1"
"1045","ARL10"
"1046","ARL11"
"1047","ARL13A"
"1048","ARL13B"
"1049","ARL14"
"1050","ARL14EP"
"1051","ARL15"
"1052","ARL16"
"1053","ARL17A"
"1054","ARL17B"
"1055","ARL2"
"1056","ARL2.SNX15"
"1057","ARL2BP"
"1058","ARL3"
"1059","ARL4A"
"1060","ARL4C"
"1061","ARL4D"
"1062","ARL5A"
"1063","ARL5B"
"1064","ARL5C"
"1065","ARL6"
"1066","ARL6IP1"
"1067","ARL6IP4"
"1068","ARL6IP5"
"1069","ARL6IP6"
"1070","ARL8A"
"1071","ARL8B"
"1072","ARL9"
"1073","ARMC1"
"1074","ARMC10"
"1075","ARMC12"
"1076","ARMC2"
"1077","ARMC3"
"1078","ARMC4"
"1079","ARMC4P1"
"1080","ARMC5"
"1081","ARMC6"
"1082","ARMC7"
"1083","ARMC8"
"1084","ARMC9"
"1085","ARMCX1"
"1086","ARMCX2"
"1087","ARMCX3"
"1088","ARMCX4"
"1089","ARMCX5"
"1090","ARMCX6"
"1091","ARMS2"
"1092","ARMT1"
"1093","ARNT"
"1094","ARNT2"
"1095","ARNTL"
"1096","ARNTL2"
"1097","ARPC1A"
"1098","ARPC1B"
"1099","ARPC2"
"1100","ARPC3"
"1101","ARPC4"
"1102","ARPC5"
"1103","ARPC5L"
"1104","ARPIN"
"1105","ARPP19"
"1106","ARPP21"
"1107","ARR3"
"1108","ARRB1"
"1109","ARRB2"
"1110","ARRDC1"
"1111","ARRDC2"
"1112","ARRDC3"
"1113","ARRDC4"
"1114","ARSA"
"1115","ARSB"
"1116","ARSD"
"1117","ARSE"
"1118","ARSF"
"1119","ARSG"
"1120","ARSH"
"1121","ARSI"
"1122","ARSJ"
"1123","ARSK"
"1124","ART1"
"1125","ART3"
"1126","ART4"
"1127","ART5"
"1128","ARTN"
"1129","ARV1"
"1130","ARVCF"
"1131","ARX"
"1132","AS3MT"
"1133","ASAH1"
"1134","ASAH2"
"1135","ASAP1"
"1136","ASAP2"
"1137","ASAP3"
"1138","ASB1"
"1139","ASB10"
"1140","ASB11"
"1141","ASB12"
"1142","ASB13"
"1143","ASB14"
"1144","ASB15"
"1145","ASB16"
"1146","ASB17"
"1147","ASB18"
"1148","ASB2"
"1149","ASB3"
"1150","ASB4"
"1151","ASB5"
"1152","ASB6"
"1153","ASB7"
"1154","ASB8"
"1155","ASB9"
"1156","ASCC1"
"1157","ASCC2"
"1158","ASCC3"
"1159","ASCL1"
"1160","ASCL2"
"1161","ASCL3"
"1162","ASCL4"
"1163","ASCL5"
"1164","ASF1A"
"1165","ASF1B"
"1166","ASGR1"
"1167","ASGR2"
"1168","ASH1L"
"1169","ASH2L"
"1170","ASIC1"
"1171","ASIC2"
"1172","ASIC3"
"1173","ASIC4"
"1174","ASIC5"
"1175","ASIP"
"1176","ASL"
"1177","ASMT"
"1178","ASMTL"
"1179","ASNA1"
"1180","ASNS"
"1181","ASNSD1"
"1182","ASPA"
"1183","ASPDH"
"1184","ASPG"
"1185","ASPH"
"1186","ASPHD1"
"1187","ASPHD2"
"1188","ASPM"
"1189","ASPN"
"1190","ASPRV1"
"1191","ASPSCR1"
"1192","ASRGL1"
"1193","ASS1"
"1194","ASTE1"
"1195","ASTL"
"1196","ASTN1"
"1197","ASTN2"
"1198","ASUN"
"1199","ASXL1"
"1200","ASXL2"
"1201","ASZ1"
"1202","ATAD1"
"1203","ATAD2"
"1204","ATAD2B"
"1205","ATAD3A"
"1206","ATAD3B"
"1207","ATAD3C"
"1208","ATAD5"
"1209","ATAT1"
"1210","ATCAY"
"1211","ATE1"
"1212","ATF1"
"1213","ATF2"
"1214","ATF3"
"1215","ATF4"
"1216","ATF5"
"1217","ATF6"
"1218","ATF6B"
"1219","ATF7"
"1220","ATF7IP"
"1221","ATF7IP2"
"1222","ATG10"
"1223","ATG101"
"1224","ATG12"
"1225","ATG13"
"1226","ATG14"
"1227","ATG16L1"
"1228","ATG16L2"
"1229","ATG2A"
"1230","ATG2B"
"1231","ATG3"
"1232","ATG4A"
"1233","ATG4B"
"1234","ATG4C"
"1235","ATG4D"
"1236","ATG5"
"1237","ATG7"
"1238","ATG9A"
"1239","ATG9B"
"1240","ATHL1"
"1241","ATIC"
"1242","ATL1"
"1243","ATL2"
"1244","ATL3"
"1245","ATM"
"1246","ATMIN"
"1247","ATN1"
"1248","ATOH1"
"1249","ATOH7"
"1250","ATOH8"
"1251","ATOX1"
"1252","ATP10A"
"1253","ATP10B"
"1254","ATP10D"
"1255","ATP11A"
"1256","ATP11AUN"
"1257","ATP11B"
"1258","ATP11C"
"1259","ATP12A"
"1260","ATP13A1"
"1261","ATP13A2"
"1262","ATP13A3"
"1263","ATP13A4"
"1264","ATP13A5"
"1265","ATP1A1"
"1266","ATP1A2"
"1267","ATP1A3"
"1268","ATP1A4"
"1269","ATP1B1"
"1270","ATP1B2"
"1271","ATP1B3"
"1272","ATP1B4"
"1273","ATP2A1"
"1274","ATP2A2"
"1275","ATP2A3"
"1276","ATP2B1"
"1277","ATP2B2"
"1278","ATP2B2.IT2"
"1279","ATP2B3"
"1280","ATP2B4"
"1281","ATP2C1"
"1282","ATP2C2"
"1283","ATP4A"
"1284","ATP4B"
"1285","ATP5A1"
"1286","ATP5B"
"1287","ATP5C1"
"1288","ATP5D"
"1289","ATP5E"
"1290","ATP5EP2"
"1291","ATP5F1"
"1292","ATP5G1"
"1293","ATP5G2"
"1294","ATP5G3"
"1295","ATP5H"
"1296","ATP5I"
"1297","ATP5J"
"1298","ATP5J2"
"1299","ATP5J2.PTCD1"
"1300","ATP5L"
"1301","ATP5L2"
"1302","ATP5O"
"1303","ATP5S"
"1304","ATP5SL"
"1305","ATP6AP1"
"1306","ATP6AP1L"
"1307","ATP6AP2"
"1308","ATP6V0A1"
"1309","ATP6V0A2"
"1310","ATP6V0A4"
"1311","ATP6V0B"
"1312","ATP6V0C"
"1313","ATP6V0D1"
"1314","ATP6V0D2"
"1315","ATP6V0E1"
"1316","ATP6V0E2"
"1317","ATP6V1A"
"1318","ATP6V1B1"
"1319","ATP6V1B2"
"1320","ATP6V1C1"
"1321","ATP6V1C2"
"1322","ATP6V1D"
"1323","ATP6V1E1"
"1324","ATP6V1E2"
"1325","ATP6V1F"
"1326","ATP6V1G1"
"1327","ATP6V1G2"
